,转债代码,转债名称,正股代码,正股名称,现价,涨跌幅,成交额,换手率,近5日涨跌幅,近20日涨跌幅,近3月涨跌幅,近1年涨跌幅,剩余规模（亿元）,转股价值,溢价率,正股价格,正股涨跌幅,正股成交额,正股波动率,双低指标,纯债价值,转债/正股流通市值比,自选标记,更新时间,上市日期,发行规模（亿元）,债券评级,到期日期,剩余年限,转股价,回售触发价,强赎触发价,距离转股开始天数,转股开始日期,下修条件,下修次数,下修成功次数,强赎标记,确定强赎日期,确定强赎价格,强赎天数统计
209,123060,苏试转债,1300416,苏试试验,200.534,-0.11,1334.23,2.15,-10.99,-14.67,9.94,28.54,3.096,184.04,8.96,26.76,-0.59,1583.59,47.66,209.49,94.16,3.1,0,09:50:03,2020-08-17,3.1,AA-,26-07-20,3.885,14.54,10.18,18.9,0,2021-01-27,15/30  85%,0,0,G,,,0/15 | 30
210,123061,航新转债,1300424,航新科技,121.74,0.3,308.84,1.02,-1.66,-9.01,1.76,-10.64,2.496,78.71,54.67,11.68,1.57,634.34,45.58,176.41,84.86,10.2,0,09:49:57,2020-08-18,2.5,A,26-07-21,3.888,14.84,10.39,19.29,0,2021-01-28,15/30  90%,0,0,,,,0/15 | 30
211,123062,三超转债,1300554,三超新材,140.7,-0.21,8448.01,39.42,-12.17,-17.24,16.09,16.3,1.5,141.1,-0.28,24.17,-0.21,2998.98,59.02,140.42,100.14,9.4,0,09:50:03,2020-08-17,1.95,A,26-07-26,,17.13,11.99,22.27,0,2021-02-01,15/30  85%,0,0,R,2022-09-08,100.140,21/15 | 30
212,123063,大禹转债,1300021,大禹节水,128.6,1.27,1109.23,1.37,-3.02,2.78,-2.58,6.43,6.346,116.1,10.77,5.48,3.2,3198.91,35.95,139.37,101.2,18.0,0,09:50:03,2020-08-20,6.38,AA-,26-07-27,3.904,4.72,3.3,6.14,0,2021-02-03,15/30  85%,0,0,,,,0/15 | 30
213,123064,万孚转债,1300482,万孚生物,115.065,0.26,245.06,0.36,-2.47,-3.8,-3.44,3.94,5.98,63.82,80.3,33.0,1.1,6736.05,66.82,195.37,100.13,5.5,0,09:50:03,2020-09-23,6.0,AA,26-08-31,4.0,51.71,36.2,67.22,0,2021-03-08,15/30  80%,1,1,,,,0/15 | 30
214,123065,宝莱转债,1300246,宝莱特,117.535,0.39,117.74,0.46,-2.34,-4.59,1.06,5.89,2.188,39.45,197.93,14.33,0.35,289.51,38.02,315.47,96.98,11.0,0,09:50:00,2020-09-24,2.19,AA-,26-09-03,4.008,36.32,25.42,47.22,0,2021-03-11,15/30  90%,0,0,,,,0/15 | 30
215,123067,斯莱转债,1300382,斯莱克,210.688,-1.34,9306.05,18.29,-18.58,-15.88,34.2,-22.82,2.396,197.59,6.63,19.68,-3.24,7896.69,69.16,217.32,96.62,2.1,0,09:50:03,2020-10-15,3.88,AA-,26-09-16,4.044,9.96,6.97,12.95,0,2021-03-23,15/30  85%,0,0,G,,,0/15 | 30
216,123071,天能转债,1300569,天能重工,173.169,3.62,16061.37,13.45,1.84,-4.1,21.72,34.85,6.942,147.42,17.47,11.44,3.81,9025.4,68.42,190.64,95.88,10.0,0,09:50:03,2020-11-25,7.0,AA-,26-10-20,4.137,7.76,5.43,10.09,0,2021-04-27,10/20  90%,1,1,G,,,0/15 | 30
217,123072,乐歌转债,1300729,乐歌股份,128.094,0.23,1195.35,6.57,-3.47,-5.47,-1.76,3.4,1.419,36.48,251.13,17.87,3.29,3939.58,53.3,379.22,94.2,3.8,0,09:50:03,2020-11-10,1.42,A+,26-10-20,4.137,48.98,34.29,63.67,0,2021-04-27,15/30  85%,0,0,,,,0/15 | 30
218,123075,贝斯转债,1300580,贝斯特,118.992,0.53,233.29,0.33,-3.71,-9.08,1.22,-0.01,5.996,80.22,48.33,18.9,-0.37,474.21,63.97,167.32,91.24,17.0,0,09:50:03,2020-11-23,6.0,AA-,26-11-01,4.17,23.56,16.49,30.63,0,2021-05-06,15/30  85%,0,0,,,,0/15 | 30
219,123076,强力转债,1300429,强力新材,106.98,0.31,59.82,0.07,-1.26,-1.86,1.94,-0.94,8.499,47.94,123.15,9.06,0.0,667.26,33.19,230.13,93.29,25.0,0,09:49:09,2020-12-04,8.5,AA-,26-11-18,4.216,18.9,13.23,24.57,0,2021-05-25,15/30  85%,0,0,,,,0/15 | 30
220,123077,汉得转债,1300170,汉得信息,117.955,0.39,723.46,0.65,-3.54,-4.72,-2.84,7.65,9.367,80.41,46.69,7.88,0.38,2960.48,54.88,164.65,108.41,14.5,0,09:50:03,2020-12-15,9.37,AA,26-11-23,4.23,9.8,6.86,12.74,0,2021-05-27,15/30  85%,0,0,,,,0/15 | 30
221,123078,飞凯转债,1300398,飞凯材料,151.139,1.61,2151.4,2.31,-6.42,-14.11,-1.54,9.52,6.184,130.41,15.9,20.2,0.6,3232.48,60.92,167.04,99.56,5.8,0,09:50:03,2020-12-16,8.25,AA,26-11-27,4.241,15.49,10.84,18.59,0,2021-06-03,15/30  85%,1,1,G,,,0/15 | 30
222,123080,海波转债,1300517,海波重科,144.233,2.88,13527.98,38.46,5.9,5.88,13.1,19.02,2.434,141.8,1.72,16.35,4.87,4369.24,42.93,145.95,90.71,12.9,0,09:50:03,2020-12-22,2.45,A+,26-12-01,4.252,11.53,8.07,14.99,0,2021-06-08,15/30  85%,0,0,,,,5/15 | 30
